Nhận xét,
 ,không liên quan
 ,không liên quan
 ,không liên quan
 ,không liên quan
 ,không liên quan
 ,không liên quan
 ,không liên quan
 ,không liên quan
 ,không liên quan
 ,không liên quan
 ,không liên quan
  ,không liên quan
  ,không liên quan
  ,không liên quan
  ,không liên quan
  ,không liên quan
   ,không liên quan
                    ,không liên quan
 ....,không liên quan
 không có ý kiến,bình thường
- Không có ý kiến khác ạ.,bình thường
- Không có ý kiến khác.,bình thường
 mất mạng,tệ
 phù hợp trong tình hình dịch bệnh ,tốt
 tốt,tốt
 tốt,tốt
" Ưu điểm: khả năng giảm thiểu chi phí đi lại, tiết kiệm được thời gian và không gian học tập... Nhược điểm: Môi trường học không kích thích được sự chủ động và sáng tạo của học viên...  Kết quả so với học trực tiếp tại lớp: kết quả cao hơn học trực tiếp",rất tốt
(Không có),bình thường
",",không liên quan
",",không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
.,không liên quan
. ,không liên quan
..,không liên quan
...,không liên quan
...,không liên quan
...,không liên quan
...,không liên quan
....,không liên quan
....,không liên quan
....,không liên quan
.không có ý kiến ,bình thường
/,không liên quan
0,không liên quan
0,không liên quan
0,không liên quan
0,không liên quan
a,không liên quan
a,không liên quan
a,không liên quan
a,không liên quan
a,không liên quan
a,không liên quan
a,không liên quan
Bài giảng cụ thể,tốt
Bạqn,không liên quan
Bình thường,bình thường
Bình thường,bình thường
Bình thường,bình thường
Bình thường,bình thường
bình thường,bình thường
Bình thường,bình thường
Bình thường,bình thường
Bình thường,bình thường
Bình thường,bình thường
bình thường,bình thường
bình thường,bình thường
Bình thường ,bình thường
Các bạn giao lưu với nhau tốt,rất tốt
Các bạn hoà ngủ vui vẻ trao đôi ới thầy,rất tốt
cách chấm điểm nên được công bằng và minh bạch hơn,rất tệ
cải thiện điểm,tốt
Cải thiện hơn,tốt
cần cho bài tập và kiểm tra nhiều hơn ,tệ
Cần chuyển qua ứng dụng học online khác đỡ giật lag hơn,rất tệ
Cần chuyển sang ứng dụng học online khác đỡ giật lag hơn,rất tệ
Cần có phương pháp đánh giá điểm khách quan hơn,rất tệ
Cần có phương pháp đánh giá điểm khách quan hơn,rất tệ
Cần có phương pháp đánh giá điểm khách quan hơn,rất tệ
Cần đưa học online thành 1 tùy chọn cho các sinh viên có nhu cầu,không liên quan
Cần ghi lại những tiết học để sinh viên có thể nghe lại ,tệ
Cần ổn định đường truyền hơn,tệ
cao hơn điểm học trực tiếp,tốt
chất lượng học vẫn tốt nhưng không bằng với việc học trực tiếp,bình thường
Cho sinh viên năm nhất học onl hết năm nay đi trường ơi,không liên quan
cho xem nhiều video sát thực tế,tốt
Cô dạy dễ hiểu,rất tốt
Cô dạy dễ hiểu,rất tốt
Cô dạy tốt,tốt
"cô dễ thương, nhiệt tình",rất tốt
Cô nên gửi cho các bạn slide,không liên quan
"Cô nhiệt tình, công bằng",rất tốt
"Có nhiều nhược điểm hơn ưu điểm, vì vậy nên cho sinh viên quay lại trường học tập",rất tệ
Có nhiều nội dung bổ ích cho sinh viên khi gặp vấn đề ở thực tế,rất tốt
có nhìu tiếng động,tệ
có thể xem lại bài giảng khi kết thúc buổi học,tốt
Có tiến bộ rõ ràng ở một số khía cạnh ,tốt
"Cô vui tính, tận tình, điểm số cao",rất tốt
cúp điện,tệ
d,không liên quan
d,không liên quan
d,không liên quan
Dạ,không liên quan
Dạ,không liên quan
Dạ em không,bình thường
Dạ em không có ý kiến,bình thường
Dạ em không có ý kiến ạ!,bình thường
Dạ không,bình thường
Dạ không,bình thường
Dạ không,bình thường
Dạ không,bình thường
Dạ không,bình thường
dạ không ,bình thường
Dạ không ,bình thường
dạ không ạ,bình thường
dạ không ạ,bình thường
dạ không ạ,bình thường
Dạ không có,bình thường
Dạ không có ,bình thường
Dạ không có ạ,bình thường
dạ không có ý kiến ạ,bình thường
dạ không có ý kiến ạ ,bình thường
dạ khonong có ạ,bình thường
dạ ko có ạ,bình thường
Dạ ổn lắm ạ,tốt
Dạ ổn rồi ạ,tốt
Dạ rất tuyệt vời ạ.,rất tốt
Dạ tốt,tốt
đảm bảo sức khoẻ,rất tốt
Dạy rất nhanh,tệ
dễ có sự tập trung hơn học trực tiếp,tốt
"Dễ dàng học tập, không mất công sức và thời gian đến tận trường",rất tốt
Dễ dàng thuận tiện và an toàn hơn đi học ở trường,rất tốt
Dễ dàng thuận tiện và an toàn hơn đi học ở trường,rất tốt
Dễ dàng thuận tiện và an toàn hơn đi học ở trường,rất tốt
Dễ đến lớp khuyết điểm là mạng,tốt
Dễ hiểu,tốt
Dễ hiểu ,tốt
"Dễ hiểu, điểm cao  giáo viên nhiệt tình",rất tốt
Dễ lưu trữ,tốt
Dễ lưu trữ,tốt
đề mở nên điểm khá cao ,rất tốt
Đề nghị nộp bài qua google classroom thay vì mail . Vì có một số bạn sài đt k thể coppy mail gây mất bài gửi k đúng địa chỉ,rất tệ
"dễ phân bổ thời gian, mạng không ổn định",bình thường
"dễ tập trung hơn trên lớp, điểm cao hơn trên lớp",rất tốt
Dễ tiếp cận và giao tiếp trực tiếp với giảng viên,rất tốt
Dễ tiếp thu,tốt
"dễ tương tác, chưa hiểu hết những gì mà giảng viên muốn truyền đạt",không liên quan
dhhd,không liên quan
"Di chuyển dễ dàng hơn, khó khăn tiếp thu bài hơn offline",tệ
Dịch bệnh vẫn còn nên học online là cách học an toàn nhất hiện nay,không liên quan
Dịch bệnh vẫn còn như hiện nay thì rất thích hợp cho việc học online,không liên quan
điểm cao,tốt
điểm danh nên hiểu cho sinh viên vì nhiều lý do mà không thể đỡ được,bình thường
Điểm như trên lớp ,bình thường
điểm ổn,tốt
điểm từ trung bình đến cao,tốt
điểm từ trung bình tới cao,tốt
Điểm tương tự trên lớp ,bình thường
điện mạng và không gian nhiều bất cập,bình thường
"do dịch bệnh càng ngày càng có nhiều biến chủng mới hơn, mong trường xem xét cho sinh viên được lựa chọn cách thức tham gia học phần online hoặc offline",không liên quan
"do học onl nên chấm điểm bài kiểm tra không chi tiết, không biết mình sai chỗ nào",bình thường
"Do thầy đã áp dụng công cụ giảng dạy vo cùng tiện ích nên việc học rất dễ dàng, kết quả còn lại là do ở sinh viên, nhưng học trực tiếp chắc sẽ ổn hơn",tốt
Đổi ca sẽ đỡ mệt hơn,tốt
"Đối với em thì học online khá là hiệu quả ạ, em tiếp thu bài rất tốt. ",rất tốt
"Dù sao thì cô giáo quá tuyệt vời, iu cô",rất tốt
được,bình thường
được,bình thường
được,bình thường
Đường truyền,không liên quan
đường truyền hay bị mất ,tệ
đường truyền kém,tệ
đường truyền kém và không hiệu quả,rất tệ
"đường truyền không ổn định, có thể bị bỏ lỡ bài giảng",rất tệ
đường truyền mạng kém,tệ
Đường truyền mạng không ổn định,tệ
Đường truyền thường mất ổn định,rất tệ
"E ko có đố góp gì ạ,ổn rồi",bình thường
Em không có ý kiến,bình thường
Em không có ý kiến,bình thường
em không có ý kiến,bình thường
Em không có ý kiến,bình thường
em không có ý kiến,bình thường
em không có ý kiến,bình thường
em không có ý kiến,bình thường
em không có ý kiến,bình thường
em không có ý kiến,bình thường
Em không có ý kiến ,bình thường
Em khong có ý kiến ạ,bình thường
Em không có ý kiến ạ,bình thường
Em không có ý kiến ạ,bình thường
em không có ý kiến ạ,bình thường
em không có ý kiến ạ,bình thường
em không có ý kiến ạ,bình thường
em không có ý kiến ạ,bình thường
Em không có ý kiến gì ạ,bình thường
em không có ý kiến gì thêm,bình thường
