rớt mạng,không liên quan,,
Không,bình thường,,
KHONG CO,bình thường,,
Đường truyền internet kém,tệ,,
Ko có,bình thường,,
Không,bình thường,,
Rớt mạng,tệ,,
Mạng đôi lúc yếu ,tệ,,
Nhà wifi kém,tệ,,
Không có sách,tệ,,
Internet,không liên quan,,
Đường truyền internet có lúc còn kém.,tệ,,
Không,bình thường,,
Đường truyền mạng,tệ,,
Đường truyền internet,tệ,,
Không được gặp giáo viên để dễ trao đổi bài vở,tệ,,
ường truyền internet; ,tệ,,
Không có,bình thường,,
khó tiếp thu ,tệ,,
Mạng,tệ,,
mạng yếu,tệ,,
hay rớt mạng,tệ,,
đáp ứng của giảng viên,tốt,,
Hay rớt mạng,tệ,,
Bình thường,bình thường,,
Dễ xảy ra tình trạng mất kết nối,tệ,,
Nhièu lúc k hiểu được hết bài ,bình thường,,
Không cod,bình thường,,
Đường truyền internet,tệ,,
không,bình thường,,
không có khó khăn gì,tốt,,
khó tiếp thu,tệ,,
mạng hay yếu,tệ,,
đường truyền internet,tệ,,
mạng yếu,tệ,,
Kết nối thường mất do mạng nhà yếu,tệ,,
Mất mạng,tệ,,
Dễ bị ngắt kết nối,tệ,,
Đường truyền internet,tệ,,
khó hiểu,tệ,,
mạng không ổn định,tệ,,
Mạng không ổn định,tệ,,
không có,bình thường,,
kỹ năng sử dụng công nghệ để học tập trực tuyến,bình thường,,
Không,bình thường,,
ĐÔI  KHI MẠNG LẠNG,tệ,,
không có ý kiến thêm,bình thường,,
Không có tài liệu,tệ,,
mạng kém,tệ,,
"Mạng kém , ",tệ,,
Thiếu tập trung bị xao nhãn,tệ,,
Ko có,bình thường,,
Đường truyền kém ,tệ,,
Khó kết nối các bạn để làm việc nhóm,tệ,,
không ý kiến,bình thường,,
Không,bình thường,,
đường truyền internet kém,tệ,,
đường truyền internet,tệ,,
Mất điện bị văng ra mất kiến thức,rất tệ,,
Lỗi camera ,tệ,,
Ok,tốt,,
Không ý kiến ,bình thường,,
đường truyền internet ,tệ,,
môn này dạy k hiểu :))),tệ,,
hay mất mạng,tệ,,
Mạng yêu,tệ,,
Mạng yếu,tệ,,
không,bình thường,,
không,bình thường,,
mạng lắc,tệ,,
không có,bình thường,,
không tập trung tối đa,tệ,,
không nghe rõ thầy cô giảng ,tệ,,
Không,bình thường,,
đường truyền Internet,tệ,,
Kết nối mạng không ổn định,tệ,, 
"đường truyền có vấn đề, k trao đổi trực tiếp với GV cũng như bạn học để làm bài",tệ,,
không,bình thường,,
internet,không liên quan,,
internet yếu,tệ,,
Mất mạng,tệ,,
Mạng yếu,tệ,,
Không ,bình thường,,
