Nhận xét,Cảm xúc
Không phải chạy xe đến trường,bình thường
"Không kệt xe , không ồn ào",bình thường
giao diện chương trình học,bình thường
Tiện lợi,bình thường
Không,bình thường
Không vào hc trễ khi đợi thabg máy như học trực tiếp,bình thường
không có ý kiến thêm,bình thường
bình thường,bình thường
Ok,bình thường
Không cần di chuyển xa xôi ,bình thường
Không đi đường,bình thường
đáp ứng của giảng viên,bình thường
oke,bình thường
Ở nhà,bình thường
học tại nhà,bình thường
Khoẻ,bình thường
Ok,bình thường
tot,bình thường
Ở nhà ,bình thường
đã quen với hình thức học online,bình thường
Khong,bình thường
Ko có ,bình thường
bình thường,bình thường
Ok,bình thường
không ạ,bình thường
đỡ tốn tiền xang,bình thường
k có,bình thường
ko ,bình thường
bình thường,bình thường
oke,bình thường
Không ý kiến ,bình thường
không,bình thường
bình thường,bình thường
bình thường,bình thường
Không,bình thường
không có,bình thường
bình thường,bình thường
ok,bình thường
bình thường ,bình thường
ok,bình thường
Dễ học mọi lúc ,bình thường
thời gian,bình thường
bình thường,bình thường
bình thường,bình thường
bình thường ,bình thường
Ổn,bình thường
Thi điểm ổn hơn thi off,bình thường
Ok,bình thường
bình thường,bình thường
bình thường,bình thường
ok,bình thường
bình thường,bình thường
bình thường ,bình thường
bình thường,bình thường
ok,bình thường
Cũng bình thường ,bình thường
Ok,bình thường
bình thường,bình thường
bình thường,bình thường
bình thường,bình thường
Em ko có ý kiến,bình thường
bình thường ,bình thường
oke,bình thường
Ok,bình thường
ok,bình thường
ok,bình thường
Ok,bình thường
bình thường ạ,bình thường
bình thường,bình thường
ok,bình thường
k có ,bình thường
bt,bình thường
Okela,bình thường
Ok,bình thường
ok,bình thường
không,bình thường
bình thường,bình thường
bình thường,bình thường
khong y kien,bình thường
không có ý kiến,bình thường
Không có ý kiến,bình thường
bình thường,bình thường
Không có ý kiến ,bình thường
bình thường ,bình thường
Không có ý kiến,bình thường
không có ý kiến,bình thường
không có ý kiến ạ,bình thường
không có ý kiến ạ,bình thường
Không có,bình thường
ok,bình thường
bt,bình thường
bình thường,bình thường
ok,bình thường
bt,bình thường
Tại nhà ,bình thường
Không có ạ,bình thường
bình thường,bình thường
Không có ý kiến khác.,bình thường
Ok,bình thường
bình thường,bình thường
 không có ý kiến,bình thường
- Không có ý kiến khác ạ.,bình thường
- Không có ý kiến khác.,bình thường
(Không có),bình thường
.không có ý kiến ,bình thường
bình thường,bình thường
bình thường,bình thường
bình thường,bình thường
bình thường,bình thường
bình thường,bình thường
bình thường,bình thường
bình thường,bình thường
bình thường,bình thường
bình thường,bình thường
bình thường,bình thường
bình thường,bình thường
bình thường ,bình thường
chất lượng học vẫn tốt nhưng không bằng với việc học trực tiếp,bình thường
Dạ em không,bình thường
Dạ em không có ý kiến,bình thường
Dạ em không có ý kiến ạ!,bình thường
Dạ không,bình thường
Dạ không,bình thường
Dạ không,bình thường
Dạ không,bình thường
Dạ không,bình thường
dạ không ,bình thường
Dạ không ,bình thường
dạ không ạ,bình thường
dạ không ạ,bình thường
dạ không ạ,bình thường
Dạ không có,bình thường
Dạ không có ,bình thường
Dạ không có ạ,bình thường
dạ không có ý kiến ạ,bình thường
dạ không có ý kiến ạ ,bình thường
dạ khonong có ạ,bình thường
dạ ko có ạ,bình thường
"dễ phân bổ thời gian, mạng không ổn định",bình thường
điểm danh nên hiểu cho sinh viên vì nhiều lý do mà không thể đỡ được,bình thường
Điểm như trên lớp ,bình thường
Điểm tương tự trên lớp ,bình thường
điện mạng và không gian nhiều bất cập,bình thường
"do học onl nên chấm điểm bài kiểm tra không chi tiết, không biết mình sai chỗ nào",bình thường
được,bình thường
được,bình thường
được,bình thường
"E ko có đố góp gì ạ,ổn rồi",bình thường
Em không có ý kiến,bình thường
Em không có ý kiến,bình thường
em không có ý kiến,bình thường
Em không có ý kiến,bình thường
em không có ý kiến,bình thường
em không có ý kiến,bình thường
em không có ý kiến,bình thường
em không có ý kiến,bình thường
em không có ý kiến,bình thường
Em không có ý kiến ,bình thường
