Nhận xét,Cảm xúc
Không phải chạy xe đến trường,bình thường
"Không mất thời gian kẹt xe,thang máy",tốt
Thuận tiện đi lại,tốt
Quản lý được thời gian,tốt
Không ,không liên quan 
"Học trực tuyến quản lý thời gian tốt hơn, tiết kiệm được thời gian - chi phí.",rất tốt
"Không cần phải lên lớp, tránh tiếp xúc",tốt
Làm chủ được thời gian mình mong muốn,rất tốt
Không đi trễ,tốt
đáp ứng của giảng viên; giao diện chương trình học; đã quen học tập theo phương pháp truyền thống; kỹ năng sử dụng công nghệ để học tập trực tuyến; ...),tốt
tiện ,tốt
Không cần đến trường,tốt
Nghe rõ,tốt
Không ,bình thường 
chủ động thời gian,tốt
ở nhà thoải mãi,tốt
quản lý thời gian,bình thường 
"Không kệt xe , không ồn ào",bình thường
bình thường,bình thường 
Hạn chế tiếp xúc trong mùa dịch ,rất tốt
Thời gian thuận tiện cho việc học,rất tốt
Giao diện chương trình học,bình thường 
Không di chuyển nhiều,bình thường 
quanr lý thời gian,rất tốt
nang lực tự học của bản thân,rất tốt
tiện lợi,rất tốt
giao diện chương trình học,bình thường
không mất thời gian di chuyển,tốt
Tiện lợi,bình thường
Học tại nhà,tốt
Tham gia học nhanh chóng,tốt
quản lý thời gian,tốt
khỏi đi lại,bình thường 
không,không liên quan
Đỡ tốn thời gian di chuyển,tốt
không có,không liên quan
kỹ năng sử dụng công nghệ để học tập trực tuyến,tốt
Không,bình thường
Không vào hc trễ khi đợi thabg máy như học trực tiếp,bình thường
không có ý kiến thêm,bình thường
Ở nhà học ,tốt
quản lí được thời gian,rất tốt
Tiện lợi,tốt
Hạn chế di chuyển,tốt
h,không liên quan
Ko có,không liên quan
không đi trễ,không liên quan
KHONG CO,không liên quan
Ko có,không liên quan
Dễ nghe dễ tập trung,rất tốt
tốt,tốt
bình thường,bình thường
Không,không liên quan
môi trường học tập thoải mái,tốt
Ok,bình thường
quản lý thời gian,tốt
Không cần di chuyển xa xôi ,bình thường
Dễ lưu trữ tài liệu,tốt
Không đi đường,bình thường
phòng chống dịch covid ,tốt
Không ý kiến ,không liên quan
chủ động được thời gian,tốt
tập trung hơn,tốt
học chăm hơn,tốt
Thời gian linh hoạt,tốt
không ý kiến,không liên quan
Không,không liên quan
đỡ mất thời gian đến trường,tốt
không có,không liên quan
điểm cao,tốt
Không,không liên quan
Thay đổi vị trí học,tệ
Không mất thời gian di chuyển,tốt
tãp trung,tốt
không,không liên quan
.,không liên quan
có,không liên quan
"Học tại nhà, làm được nhiều việc",tốt
Tiện lợi,tốt
Nhanh,tốt
Không ,không liên quan
Dễ quản lý thời gian,tốt
Tất cả đều thuận lợi,rất tốt
không ,không liên quan
Không gian,không liên quan
thoải mái,tốt
"không phải tham gia giao thông, không tốn chi phí di chuyển hay chi phí cá nhân",tốt
được học tại nhà,tốt
không,không liên quan
Phòng tránh dịch bệnh,tốt
Tiết kiệm thời gian,tốt
không có,không liên quan
Dễ tiếp thu,tốt
Không,không liên quan
Tiện,tốt
Tiết kiệm được thời gian di chuyển,tốt
"nhanh, gọn, lẹ",tốt
 quản lý thời gian dễ hơn,tốt
Được thi đề mở,tốt
Tiết kiệm tg,tốt
không ý kiến,không liên quan
Không cần đi lại,tốt
Tránh dịch,tốt
Kiểm soát dịch bệnh,tốt
Học dễ hơn ,tốt
"tiện lợi, không phải đi đến trường",tốt
Không phải di chuyển trong thời điểm dịch bệnh phức tạp,tốt
không có,không liên quan
"chủ động được bài học, record bài học",rất tốt
không đi học muộn,tốt
rất tệ,không liên quan
đáp ứng của giảng viên,bình thường
thời gian học,không liên quan
Tiết kiệm tg đi lại,tốt
tiết kiệm thời gian đến trường ,tốt
Môi trường thoải mái,tốt
Đỡ tốn thời gian,tốt
oke,bình thường
Được tham khảo nhiều tài liệu khác nhau,tốt
không tốn thời gian đi lại,tốt
không có,không liên quan
tiết kiệm được thời gian và chi phí di lại,tốt
không có,không liên quan
Mọi thứ đều tốt,rất tốt
không có,tốt
dễ hiểu tiếp thu được bài,không liên quan
được tiết kiệm chi phí đi lại,tốt
Ở nhà,bình thường
Không trễ học,tốt
Tiết kiệm thời gian công sức di chuyển,tốt
Vừa giúp cha mẹ vừa học ,tốt
Time,không liên quan
học tại nhà,bình thường
Không có,không liên quan
An toàn trong mùa dịch,tốt
Ở nhà thuận tiện khỏi phải lên trường ,tốt
Tránh dịch bệnh. Bảo đảm an toàn,tốt
Có thể học bất cứ đâu,tốt
Thời gian linh hoạt,tốt
tiện,tốt
Nhanh và thuận lợi,tốt
Hạn chế sự đi lại ,tốt
không có,không liên quan
tiết kiệm được thời gian,tốt
Không có,không liên quan
"Tiết kiệm thời gian, tăng khả năng tự học",tốt
"Không bị mất tập trung khi học, có điều kiện để tham gia đầy đủ buổi học, có thể dễ dàng lưu bài giảng...",rất tốt
Sinh viên đủ điều kiện tinh thần ổn định học tập tại nhà ,tốt
Học mọi lúc mọi nơi. Đảm bảo an toàn sức khoẻ trong thời điểm dịch bệnh,tốt
An toàn về phòng chống dịch và về việc di chuyển,tốt
Đỡ phải đến trường,tốt
"thiết bị sử dụng học trực tuyến,đường truyền internet",tốt
Z,không liên quan
không mất thời gian ,tốt
tiết kiệm chi phí đi lại,tốt
tiết kiệm thời gian đi lại,tốt
Học bất cứ đâu,tốt
Thời gian linh hoạt ,tốt
dễ học,tốt
có thể học tại nhà,tốt
Sinh viên cần có một mức độ tập trung cao hơn so với học trực tuyến.,tốt
Đỡ tốn thời gian,tốt
"Vào lớp đúng giờ, giảm được chi phí đi lại, đi bất cứ đâu với điện thoại cũng học được",rất tốt 
Thoải mái,tốt
Không cần đến trường ,bình thường 
Chú ý học hơn,tốt
Thoải mái hơn vì tại học ở nhà và cũng đã quen khi học trực tuyến,rất tốt
Không có,không liên quan
Ko có,không liên quan
Hiểu bài ,tốt
Kh phải di chuyển đến trường,tốt
Linh hoạt ,tốt
không sợ dịch,tốt
Đỡ đi xa nhà để học,tốt
Thoải mái khi học,tốt
Không phải đi lại nhiều,tốt
"Giúp đỡ gia đình, đỡ đi lại",tốt
Không gian học thoải mái ,tốt
Mạng đầy đủ ,tốt
tiết kiện chi phí ,tốt
Tránh dịch,tốt
không,không liên quan
tốt ,tốt
Vào lớp đúng giờ,tốt
Thuận tiện ,tốt
Tiện lợi,tốt
"Nghe rõ bài giảng, dễ dàng giao lưu",tốt
Tiết kiệm thời gian hơn,tốt
Học dễ hiểu hơn,tốt
không,không liên quan
môi trường mát mẻ,tốt
không mất quá nhiều thời gian di chuyển giữa các khu,tốt
Đỡ bị kẹt xe,tốt
Ở nhà học không cần đi đâu ,tốt
Ko có,không liên quan
tiết kiệm thời gian,tốt
"Dễ dàng đăng nhập, cô dạy dễ hiểu",tốt
tiện lợi,tốt
nắm được kiến thức,tốt 
Dễ tiếp thu,tốt
chụp lại được bài,tốt
đường truyền internet ổn định,tốt
tốt,tốt
K phải đi lại nhiều,tốt
"Tiện lợi hơn, vào lớp đúng giờ",tốt
Nhà xa đỡ chạy lên xuống ạ ,tốt
Thuận tiện trong học tập hơn khi không cần phải di chuyển liên tục,tốt
Kết nối internet ổn định ,tốt
Đúng giờ ,tốt
Dễ hiểu,tốt
Dễ hiểu,tốt
không,không liên quan 
"Không mất thời gian đến trường, đỡ tốn xăng",tốt
Học ở mọi nơi ,tốt
Không gian thoải mái,tốt
Tiện vì nhà xa trường,tốt
"Tiết kiệm được thời gian, mạnh dạn hơn khi phát biểu , gần gũi vs thầy cô ",rất tốt
tiện lợi,tốt
Không ồn ào trong lúc học,tốt
thoải mái,tốt
thời gian linh hoạt,tốt
dành nhiều thời gian ở bên gia đình,tốt
"Vào học đúng giờ, đỡ phải đi lại ",tốt
không có,không liên quan 
tập trung học hơn,tốt
"Kiểm tra dễ hơn, ",tốt
Kiểm tra dễ hơn,tốt
Không chạy xe đến trường đến lớp học,tốt
Tiết kiệm thời gian tiền bạc,tốt
rút gọn thời gian đến trường,tốt
Thảnh thơi về thoiwd gian ,tốt
Tiết kiệm được thời gian ,tốt
vào lớp đúng giờ,tốt
dễ dàng tập trung và quản lí thời gian tốt hơn ,tốt
thuận tiện,tốt
Không có,không liên quan
Không phải đi lại,không liên quan
Không,không liên quan
tốt,tốt
Nghe rõ hơn,tốt
"k tắc đường, ko vào học trễ",tốt
đỡ đi lại nhiều vì dịch,tốt
Chủ động thời gian học,tốt
