Nhận xét đánh giá,Cảm xúc
cần khắc phục khả năng truyền đạt kiến thức đến sinh viên ,tệ
không tốt,tệ
Cần tích cực hơn trong việc giảng giải code,tệ
Thầy vui tính nhiệt tình ,tệ
giáo viên nhiệt tình mỡ các cuộc hội thảo,tệ
tốt,tệ
Môn học khá hay nhưng khó hiểu về thuật toán cũng như giải thuật mã hóa,tệ
Thầy dạy tốt,tệ
Tốt,tệ
Giảng viên giảng dạy nhiệt tình,tệ
Ok,tệ
Giảng viên không nhiệ tình,tệ
thầy dạy được,tệ
Thầy dạy rất tốt,tệ
tốt,tệ
Giảng viên có kiến thức sâu rộng và nhiệt tình trng giảng dạy,tệ
Thầy rất nhiệt tình với sinh viên,tệ
không có nhận xét gì thêm,tệ
Ko có đề xuất gì,tệ
không co nhan xet gi them,tệ
Đươc,tệ
Giảng viên tốt ,tệ
Trình chiếu bài giảnh rõ ràng  thầy rất vui tính tận tình với sinh viên,tệ
tốt,tệ
giáo viên nhiệt tình giẩng bài dễ hiểu,tệ
dạy rất tốt,tệ
giảng viên dạy hơi nhanh hơi khó hiểu,tệ
Thay giang dạy nhiệt tình,tệ
Thầy dạy k hay lắm,tệ
Không theo kịp thầy dạy ,tệ
Thầy dạy tốt,tệ
giáo viên thường dạy khó hiểu,tệ
Giảng viển giảng dạy rất nhiệt tình,tệ
không có ý kiến ,tệ
Thầy dạy rất cao siêuvà học sinh chỉ ở mức trung bình ,tệ
dạy quá nhiều khái niệmchép bài nhiều hơn làm bài tập,tệ
Giảng viên rất nhiệt tình trong hoạt động giảng dạy giảng bài rất dễ hiểu cho sinh viên dễ tiếp thu,tệ
Không có nhận xét ,tệ
Môn học cần giảng giải rõ ràng hơn Được,tệ
tốt,tệ
Hài lòng,tệ
Dạy hay chuyên sâu,tệ
Thầy dạy tốt,tệ
Không có ý kiến ,tệ
Tốt,tệ
Thầy có kiến thức chuyên môn rộng,tệ
Không ý kiến,tệ
tốt,tệ
Môn này bổ ích,tệ
Thầy giảng bà tận tình giải bài tập dễ hiểu ,tệ
thầy dạy vẫn chưa kỹ những phần trọng tâm ,tệ
Thầy dạy dễ hiểu,tệ
Dạy hay,tệ
chưa hiểu rỏ vấn đề ,tệ
Không co,tệ
tốt,tệ
giảng viên dạy dễ hiểu,tệ
Giang viên nhiệt tình,tệ
Cô dạy không hiểu,tệ
tốt,tệ
GV dạy chưa chuyên sâu chưa giúp SV nắm kĩ kiến thức thì đã qua bài mới,tệ
tốt,tệ
Tốt,tệ
Không có ý kiến,tệ
Thời gian học trên lớp không nhiều nên việc giảng dạy và giải bài tập chưa nhiều rất mong trường có thể tăng tiết sửa bài tập đối với môn này,tệ
Cô nhiệt tình giảng dạy sinh viên,tệ
nhiệt tình,tệ
Tôi không có nhận xét và đề xuất gì với môn học ,tệ
cô dạy quá nhanh,tệ
Mong giảng viên có thể giảng dậy từ từ hơn ,tệ
Giảng viên dạy dễ hiểu ,tệ
cô dạy khó hiểu,tệ
không có ,tệ
giảng viên dạy rất tốt,tệ
tốt,tệ
không ý kiến,tệ
tốt,tệ
Tốt,tệ
tốt,tệ
không có,tệ
Tốt,tệ
K có ý kiến,tệ
Tốt,tệ
Tốt ,tệ
Tốt,tệ
Giảng Viên dạy khó hiểu trách nhiệm chưa cao chưa nhiệt tình,tệ
giang viên dạy nhiệt tình dễ hiểu,tệ
Thầy dạy rất nhiệt tình dễ hiểu công bằng về điểm số thân thiện gần gũi với sinh viên,tệ
Tốt,tệ
không có nhận xét gì thêm,tệ
không,tệ
Giảng viên dạy khó hiểu,tệ
thầy dạy hay rõ ràng và dễ hiểu,tệ
không có ý kiến,tệ
dạy quá mơ hồ,tệ
thầy dạy rất nhiệt tình nhưng em không hiểu được hết những gì thầy đã dạy,tệ
Thầy dạy rất nhiệt tình nhưng có đôi chỗ hơi khó hiểu một tý,tệ
Nhiều cái hơi khó hiểu,tệ
tốt,tệ
tốt,tệ
Dc,tệ
Thầy giảng rất tốt rất dễ hiểu,tệ
Tốt,tệ
môn học nâng cao kĩ năng lập trình của em,tệ
tốt,tệ
tốt,tệ
Không có ý kiến,tệ
tốt,tệ
Tốt ,tệ
Dạ em không dám có ý kiến gì hết,tệ
Không có nhận xét,tệ
Làm rất ít bài tập  đa số là lý thuyết Cần giáo viên cho bài tập nhiều và thiết thực với lý thuyết một tí,tệ
không có nhận xét ,tệ
good good,tệ
Giao viên day nhanh cưc ki,tệ
Giảng viên có kiến thức sâu rộng,tệ
hơi khó,tệ
tốt,tệ
chả hiểu cái gì,tệ
tốt,tệ
Thầy dạy được,tệ
thầy rất nhiệt tìnhthường xuyên dặn sv nộp bài tập để thầy chỉ ra những điểm saiít có gv như vậy,tệ
ok,tệ
tốt,tệ
Thầy dạy tốt nhưng khó khăn với sinh viên quá,tệ
Thây day tôt,tệ
không ý kiến,tệ
giảng viên dạy hay có trách nhiệm với sinh viên,tệ
không,tệ
Không có,tệ
Thầy dạy tốt và quan tâm đến học sinh,tệ
thầy giảng bài rất nhiệt tình ,tệ
Căng thẳng khi học môn này,tệ
thấy có vẻ qá nghiêm khắc sẵn sàng cho sinh viên về khi vào trễ mak không cần hỏi qá khó tạo không khí không thoải mái cho sinh vien,tệ
Thay dạy hay de hieu,tệ
Không,tệ
tốt,tệ
tuyệt,tệ
không có ý kiến ,tệ
thầy dạy hay nhưng hay vắng để người khác dạy bù ,tệ
Good,tệ
Không,tệ
Giảng chưa dễ hiểu,tệ
thầy dạy tốt,tệ
Giảng viên rất nhiệt huyết Dạy kĩ dễ hiểu,tệ
Thầy dạy rất hay,tệ
Tạm,tệ
thầy vui vẻ giúp hết mình vì sinh viên,tệ
Thầy dạy rất nhiệt tình thầy vui tính thầy dễ thương học tiếp thu bài rất nhanh,tệ
tốt,tệ
Không có ý kiến gì,tệ
Không có ý kiến ,tệ
Giảng viên thay đổi lại cách xưng hô và cách nói chuyện với giáo viên Không nên la sinh viên quá nặng lời ,tệ
dạy được,tệ
 Giảng viên giảng dạy nhiệt tình,tệ
tạm được,tệ
tốt,tệ
Thầy dạy hay,tệ
giảng viên dạy nhiệt tình vui vẻ,tệ
tốt,tệ
tốt,tệ
dạy tốt,tệ
được,tệ
tốt,tệ
thây day tôt,tệ
Tích cực trong việc trả lời câu hỏi của sinh viên,tệ
