Nhận xét đánh giá,Cảm xúc
không co đê xuât,tốt
Môn học rất hay,tốt
Tốt,tốt
tốt,tốt
Rất nhiệt tình với sinh viên ,tốt
Gv dạy nhiệt tình,tốt
Thầy dạy nhiệt tình,tốt
tốt,tốt
ok,tốt
tốt,tốt
thầy dạy hay dễ hiểu,tốt
Tốt,tốt
thầy giảng bài dễ hiểu,tốt
Vui vẻ nhiệt tình tuy nhiên kiến thức chuyên môn còn mơ hồ,tốt
thầy dạy hay,tốt
tốt,tốt
Thầy dạy nhiệt tình ,tốt
tốt,tốt
tôt,tốt
thầy dạy tốt,tốt
rất tốt trực quan dễ hiểu,tốt
thầy rất hiền và cũng nhiệt tình,tốt
Thầy dạy dễ hiểu,tốt
Không có,tốt
Không có đề xuất nào,tốt
Thầy nhiệt tình gần gủi với sinh viên,tốt
tốt ,tốt
tốt,tốt
Giảng viên nhiệt tình trong giảng dạy,tốt
giảng viên nhiệt tình,tốt
không có,tốt
không co ý kiến,tốt
Giáo viên dạy tốt tốt,tốt
Em rất hài lòng về cách dạy của thầy,tốt
không co,tốt
Tốt  Nhưng mong thầy sẽ không quan trọng phần thuyết trình mà đánh giá trọng tâm vào nội dung đề tài của mỗi nhóm ,tốt
Không có nhận xét,tốt
Bảo mật thông tin rất hữu ích đối với sinh viên giảng viên giảng dạy dễ hiểu,tốt
môn học tốt,tốt
không co y kiên thêm,tốt
nhiệt tình chỉ dẫn bám sát nội dung môn học,tốt
Giảng viên nhiệt tình dạy thu hút dễ hiểu,tốt
Thầy giảng dạy rất nhiệt tình đúng với nội dung bài học và hòa đồng với sinh viên,tốt
miễn bình luận,tốt
Thầy dạy tốt,tốt
tốt,tốt
Giảng viên giảng dạy tốt nhiệt tình,tốt
tốt,tốt
Thầy vui tính dạy dễ hiểu,tốt
thầy dạy khá rõ ràng dễ hiểu,tốt
Thầy dạy khá hay và dễ hiểu,tốt
giảng dạy nhiệt tìnhdể hiểu,tốt
z,tốt
Thầy dạy hay nhiệt tình,tốt
Thầy giảng bài to rõ dễ hiểu,tốt
Thầy nhiệt tình giảng dạy tốt,tốt
Thầy dạy tốt,tốt
không,tốt
rất tốt,tốt
thây day rât nhiêt tinh,tốt
Tốt,tốt
Môn học hay,tốt
Ko có nhận xét gì ,tốt
